date,signal,instrument,pnl_pts,entry_num,direction,year
2025-03-13,DAX_S2,DAX,11.5,3,SHORT,2025
2025-03-14,DAX_S2,DAX,-38.0,1,SHORT,2025
2025-03-14,DAX_S2,DAX,0.0,2,LONG,2025
2025-03-14,DAX_S2,DAX,-38.0,3,LONG,2025
2025-03-17,DAX_S2,DAX,-18.5,1,SHORT,2025
2025-03-17,DAX_S2,DAX,37.5,2,LONG,2025
2025-03-17,DAX_S2,DAX,62.5,3,LONG,2025
2025-03-18,DAX_S2,DAX,59.6,1,SHORT,2025
2025-03-18,DAX_S2,DAX,32.3,2,SHORT,2025
2025-03-18,DAX_S2,DAX,7.0,3,SHORT,2025
2025-03-19,DAX_S2,DAX,-6.5,1,SHORT,2025
2025-03-19,DAX_S2,DAX,-24.5,2,SHORT,2025
2025-03-19,DAX_S2,DAX,-4.5,3,LONG,2025
2025-03-20,DAX_S2,DAX,224.0,1,LONG,2025
2025-03-20,DAX_S2,DAX,76.0,2,LONG,2025
2025-03-20,DAX_S2,DAX,146.5,3,LONG,2025
2025-03-21,DAX_S2,DAX,-48.0,1,SHORT,2025
2025-03-21,DAX_S2,DAX,0.0,2,LONG,2025
2025-03-21,DAX_S2,DAX,-3.0,3,LONG,2025
2025-03-24,DAX_S2,DAX,10.0,1,LONG,2025
2025-03-24,DAX_S2,DAX,57.5,2,LONG,2025
2025-03-24,DAX_S2,DAX,51.9,3,LONG,2025
2025-03-25,DAX_S2,DAX,-18.6,1,SHORT,2025
2025-03-25,DAX_S2,DAX,13.1,2,SHORT,2025
2025-03-25,DAX_S2,DAX,20.0,3,SHORT,2025
2025-03-26,DAX_S2,DAX,-20.8,1,SHORT,2025
2025-03-26,DAX_S2,DAX,4.9,2,SHORT,2025
2025-03-26,DAX_S2,DAX,-20.0,3,SHORT,2025
2025-03-27,DAX_S2,DAX,-25.1,1,SHORT,2025
2025-03-27,DAX_S2,DAX,-9.5,2,SHORT,2025
2025-03-27,DAX_S2,DAX,27.3,3,LONG,2025
2025-03-28,DAX_S2,DAX,-13.6,1,SHORT,2025
2025-03-28,DAX_S2,DAX,253.9,2,SHORT,2025
2025-03-28,DAX_S2,DAX,64.5,3,SHORT,2025
2025-03-31,DAX_S2,DAX,17.7,1,LONG,2025
2025-03-31,DAX_S2,DAX,169.0,2,LONG,2025
2025-03-31,DAX_S2,DAX,50.5,3,LONG,2025
2025-04-01,DAX_S2,DAX,-19.5,1,LONG,2025
2025-04-01,DAX_S2,DAX,-7.0,2,LONG,2025
2025-04-01,DAX_S2,DAX,-13.1,3,SHORT,2025
2025-04-02,DAX_S2,DAX,-16.0,1,SHORT,2025
2025-04-02,DAX_S2,DAX,-19.1,2,LONG,2025
2025-04-02,DAX_S2,DAX,5.9,3,LONG,2025
2025-04-03,DAX_S2,DAX,60.6,1,SHORT,2025
2025-04-03,DAX_S2,DAX,131.5,2,SHORT,2025
2025-04-03,DAX_S2,DAX,419.2,3,SHORT,2025
2025-04-04,DAX_S2,DAX,-155.7,1,LONG,2025
2025-04-04,DAX_S2,DAX,-61.9,2,LONG,2025
2025-04-04,DAX_S2,DAX,207.0,3,LONG,2025
2025-04-08,DAX_S2,DAX,-40.6,1,LONG,2025
2025-04-08,DAX_S2,DAX,-7.8,2,LONG,2025
2025-04-08,DAX_S2,DAX,-13.0,3,LONG,2025
2025-04-09,DAX_S2,DAX,-26.1,1,SHORT,2025
2025-04-09,DAX_S2,DAX,181.4,2,LONG,2025
2025-04-09,DAX_S2,DAX,179.6,3,LONG,2025
2025-04-10,DAX_S2,DAX,-65.6,1,LONG,2025
2025-04-10,DAX_S2,DAX,-1.0,2,SHORT,2025
2025-04-10,DAX_S2,DAX,-45.6,3,LONG,2025
2025-04-11,DAX_S2,DAX,36.3,1,LONG,2025
2025-04-11,DAX_S2,DAX,5.9,2,LONG,2025
2025-04-11,DAX_S2,DAX,9.1,3,SHORT,2025
2025-04-14,DAX_S2,DAX,7.0,1,LONG,2025
2025-04-14,DAX_S2,DAX,19.5,2,LONG,2025
2025-04-14,DAX_S2,DAX,14.0,3,LONG,2025
2025-04-15,DAX_S2,DAX,-30.5,1,SHORT,2025
2025-04-15,DAX_S2,DAX,200.4,2,LONG,2025
2025-04-15,DAX_S2,DAX,287.4,3,LONG,2025
2025-04-16,DAX_S2,DAX,-24.0,1,LONG,2025
2025-04-16,DAX_S2,DAX,9.6,2,SHORT,2025
2025-04-16,DAX_S2,DAX,51.0,3,SHORT,2025
2025-04-17,DAX_S2,DAX,-2.0,1,LONG,2025
2025-04-17,DAX_S2,DAX,-30.0,2,LONG,2025
2025-04-17,DAX_S2,DAX,-15.5,3,SHORT,2025
2025-04-21,DAX_S2,DAX,12.5,1,LONG,2025
2025-04-21,DAX_S2,DAX,7.4,2,LONG,2025
2025-04-21,DAX_S2,DAX,0.0,3,LONG,2025
2025-04-22,DAX_S2,DAX,-13.0,1,SHORT,2025
2025-04-22,DAX_S2,DAX,0.0,2,SHORT,2025
2025-04-22,DAX_S2,DAX,-4.5,3,SHORT,2025
2025-04-23,DAX_S2,DAX,7.3,1,LONG,2025
2025-04-23,DAX_S2,DAX,14.4,2,LONG,2025
2025-04-23,DAX_S2,DAX,-14.1,3,LONG,2025
2025-04-24,DAX_S2,DAX,-12.5,1,SHORT,2025
2025-04-24,DAX_S2,DAX,-7.0,2,LONG,2025
2025-04-24,DAX_S2,DAX,-6.9,3,LONG,2025
2025-04-25,DAX_S2,DAX,-22.6,1,LONG,2025
2025-04-25,DAX_S2,DAX,-17.9,2,LONG,2025
2025-04-25,DAX_S2,DAX,6.5,3,LONG,2025
2025-04-28,DAX_S2,DAX,45.8,1,LONG,2025
2025-04-28,DAX_S2,DAX,14.9,2,LONG,2025
2025-04-28,DAX_S2,DAX,21.4,3,LONG,2025
2025-04-29,DAX_S2,DAX,-8.0,1,SHORT,2025
2025-04-29,DAX_S2,DAX,-16.6,2,LONG,2025
2025-04-29,DAX_S2,DAX,27.0,3,SHORT,2025
2025-04-30,DAX_S2,DAX,-5.6,1,SHORT,2025
2025-04-30,DAX_S2,DAX,181.4,2,SHORT,2025
2025-04-30,DAX_S2,DAX,147.5,3,SHORT,2025
2025-05-01,DAX_S2,DAX,9.1,1,SHORT,2025
2025-05-01,DAX_S2,DAX,30.8,2,SHORT,2025
2025-05-01,DAX_S2,DAX,23.8,3,SHORT,2025
2025-05-02,DAX_S2,DAX,270.9,1,LONG,2025
2025-05-02,DAX_S2,DAX,137.9,2,LONG,2025
2025-05-02,DAX_S2,DAX,118.9,3,LONG,2025
2025-05-05,DAX_S2,DAX,-16.5,1,SHORT,2025
2025-05-05,DAX_S2,DAX,5.0,2,LONG,2025
2025-05-05,DAX_S2,DAX,13.0,3,LONG,2025
2025-05-06,DAX_S2,DAX,-11.5,1,SHORT,2025
2025-05-06,DAX_S2,DAX,2.4,2,LONG,2025
2025-05-06,DAX_S2,DAX,14.4,3,LONG,2025
2025-05-07,DAX_S2,DAX,229.0,1,SHORT,2025
2025-05-07,DAX_S2,DAX,71.1,2,SHORT,2025
2025-05-07,DAX_S2,DAX,136.0,3,SHORT,2025
2025-05-08,DAX_S2,DAX,113.9,1,SHORT,2025
2025-05-08,DAX_S2,DAX,44.8,2,SHORT,2025
2025-05-08,DAX_S2,DAX,47.3,3,SHORT,2025
2025-05-09,DAX_S2,DAX,-8.1,1,SHORT,2025
2025-05-09,DAX_S2,DAX,10.5,2,LONG,2025
2025-05-09,DAX_S2,DAX,16.0,3,LONG,2025
2025-05-12,DAX_S2,DAX,-11.0,1,SHORT,2025
2025-05-12,DAX_S2,DAX,201.2,2,SHORT,2025
2025-05-12,DAX_S2,DAX,176.0,3,SHORT,2025
2025-05-13,DAX_S2,DAX,18.0,1,LONG,2025
2025-05-13,DAX_S2,DAX,15.0,2,LONG,2025
2025-05-13,DAX_S2,DAX,22.5,3,LONG,2025
2025-05-14,DAX_S2,DAX,-12.9,1,LONG,2025
2025-05-14,DAX_S2,DAX,-4.0,2,LONG,2025
2025-05-14,DAX_S2,DAX,1.0,3,LONG,2025
2025-05-15,DAX_S2,DAX,43.9,1,LONG,2025
2025-05-15,DAX_S2,DAX,42.0,2,LONG,2025
2025-05-15,DAX_S2,DAX,70.0,3,LONG,2025
2025-05-16,DAX_S2,DAX,146.6,1,SHORT,2025
2025-05-16,DAX_S2,DAX,123.5,2,SHORT,2025
2025-05-16,DAX_S2,DAX,105.0,3,SHORT,2025
2025-05-19,DAX_S2,DAX,-2.5,1,SHORT,2025
2025-05-19,DAX_S2,DAX,7.0,2,SHORT,2025
2025-05-19,DAX_S2,DAX,-19.5,3,SHORT,2025
2025-05-20,DAX_S2,DAX,-9.5,1,SHORT,2025
2025-05-20,DAX_S2,DAX,13.0,2,SHORT,2025
2025-05-20,DAX_S2,DAX,-17.5,3,SHORT,2025
2025-05-21,DAX_S2,DAX,-18.0,1,LONG,2025
2025-05-21,DAX_S2,DAX,-10.5,2,SHORT,2025
2025-05-21,DAX_S2,DAX,284.6,3,LONG,2025
2025-05-22,DAX_S2,DAX,-15.0,1,SHORT,2025
2025-05-22,DAX_S2,DAX,100.0,2,LONG,2025
